proposition,dominant_topic,topic_name,clean
Il faut que les labels existants incluent des notions de bien-être animal,0,Consommation Viande,label existant inclure notion bienêtre animal
"Il faut aider voisins, parents, et enfants à repérer les gâchis quotidiens inévitables, et exiger que nos dirigeants s'en occupent vraiment",3,Cultiver soi-même,aider parent enfant repérer gâchis quotidien inévitable exiger dirigeant occuper vraiment
Il faut mettre un terme aux élevages intensifs de poulets pour une alimentation plus saine ,0,Consommation Viande,mettre terme élevage intensif poulet alimentation sain
"Il faut rendre nécessaire l'accès à une diététicienne, dans chaque collectivité servant plus de 200 repas par jour",8,Alimentation des enfants,rendre nécessaire accès diététicien collectivité servir repas jour
Il faut obliger les grandes surfaces à instaurer des prix qui permettent aux producteurs de vivre (arrêter le culte du moins cher),7,Circuit court,obliger grand surface instaurer prix permettre producteur vivre arrêter culte
Il faut supprimer absolument les emballages des produits frais bio,6,Emballage alimentaire,supprimer absolument emballage frais bio
Il faut que les magasins travaillent avec les producteurs locaux même si leurs produits sont moins beaux,7,Circuit court,magasin travailler producteur local beal
"Il faut changer l'allégation ""naturel"" pour certains produits chimiques (ex : le glutamate)",1,Agriculture biologique,changer allégation naturel chimique glutamate
"Il faut refuser les poulets dont l'emballage n'indique pas leur âge, car les poulets qui grandissent trop vite sont mauvais pour la santé.",0,Consommation Viande,refuser poulet emballage indique âge poulet grandir vite mauver santé
Il faut manger à heure fixe,8,Alimentation des enfants,manger heure fixe
Il faut mieux informer et mettre en évidence que certains produits font plus de mal que de bien.,8,Alimentation des enfants,mieux informer mettre évidence mal
Il faut éduquer dès l'école primaire sur ce qu'est une alimentation équilibrée et la richesse de la biodiversité pour la planète,8,Alimentation des enfants,éduquer école primaire alimentation équilibré richesse biodiversité planète
"Il faut instaurer une taxe sur toutes les marchandises, proportionnelle à la distance parcourue ",9,Rémunération des agriculteurs,instaurer taxe marchandise proportionnel distance parcourir
Il faut manger local et de saison,7,Circuit court,manger local saison
"Il faut limiter l'importation pour consommer français donc local et responsable, ça a tout de suite meilleur goût ! ",7,Circuit court,limiter importation consommer français local responsable suite meilleur goût
Il faut privilégier les circuits courts et consommer local,7,Circuit court,privilégier circuit court consommer local
Il faut faire attention à l'idée de circuit court nos assiettes deviendront moroses. Il y aura qu'à Menton qu'on pourra manger des citrons !,9,Rémunération des agriculteurs,attention idée circuit court assiette deviendront morose menton manger citron
Il faut proposer un repas végétarien par semaine dans toutes les cantines de France pour manger plus responsable et sensibiliser les jeunes,8,Alimentation des enfants,proposer repas végétarien semaine cantine france manger responsable sensibiliser jeune
Il faut éduquer les enfants à la diététique,8,Alimentation des enfants,éduquer enfant diététique
Il faut favoriser les aides en milieu rural pour développer les petits commerçants de productions locales,3,Cultiver soi-même,favoriser aide milieu rural développer petit commerçant production local
Il faut apprendre aux chargés de l'alimentation dans un foyer à consacrer un peu de temps à la préparation de leurs repas,8,Alimentation des enfants,apprendre chargé alimentation foyer consacrer temps préparation repas
Il faut créer des jardins partagés,3,Cultiver soi-même,créer jardin partager
Il faut sortir les élèves via ferme pédagogique. Faire des mini jardins avec eux ...,8,Alimentation des enfants,sortir élève ferme pédagogique mini jardin
"Il faut baisser le prix des fruits et légumes, et augmenter le prix des plats cuisinés",9,Rémunération des agriculteurs,baisser prix fruit légume augmenter prix plat cuisiné
"Il faut interdire le choix entre mal bouffe et bio et n'autoriser que le bio local, sans importation.",1,Agriculture biologique,interdire choix mal bouffe bio autoriser bio local importation
Il faut manger des produits locaux ,7,Circuit court,manger local
Il faut encourager la création de petites structures maraîchères locales avec ventes directes,7,Circuit court,encourager création petit structure maraîcher local vente direct
"Il faut que tous les contenants plastiques de boissons soient des contenants en verre, avec retour en consigne, comme avant",6,Emballage alimentaire,contenant plastique boisson contenant verre retour consigne
"Il faut soutenir l’installation de maraîchers, boulangers et autres services de proximité dans les villages",7,Circuit court,soutenir linstallation maraîcher boulanger service proximité village
Il faut privilégier le vrac,6,Emballage alimentaire,privilégier vrac
Il faut taxer les produits à l'importation avec une TVA plus élevée et réduire la TVA pour les produits fabriqués en France,1,Agriculture biologique,taxer importation tva élevé réduire tva fabriquer france
Il faut s'inscrire à une AMAP pour réaliser des plats sains et simples,8,Alimentation des enfants,inscrire amap réaliser plat sain simple
Il faut manger de tout sans exagérer,4,Habitude de consommation alimentaire,manger exagérer
Il faut privilégier le fait maison et diminuer les fast-food !,4,Habitude de consommation alimentaire,privilégier maison diminuer fastfood
Il faut réduire la chaîne producteur-consommateur pour réduire le coût des produits et mieux rémunérer les producteurs ,7,Circuit court,réduire chaîne producteurconsommateur réduire coût mieux rémunérer producteur
"Il faut créer des partenariats avec des agriculteurs locaux, favoriser leurs produits",7,Circuit court,créer partenariat agriculteur local favoriser
"Il faut éduquer et inciter à la pratique du jardinage (potager individuel, partagé, associatif), pour bouger et manger mieux.",8,Alimentation des enfants,éduquer inciter pratique jardinage potager individuel partager associatif bouger manger mieux
Il faut limiter la publicité sur la malbouffe,2,Produits transformés,limiter publicité malbouffe
"Il faut surtaxer par une TVA spécifique les aliments destructeurs de l'environnement, de la santé animale et de la santé humaine.",1,Agriculture biologique,surtaxer tva spécifique aliment destructeur environnement santé animal santé humain
Il faut vendre les produits locaux et valoriser cela : afficher le nom de la ferme en question. Montrer que c'est abordable sain et facile !,7,Circuit court,vendre local valoriser afficher nom ferme question montrer abordable sain facile
Il faut que l'agriculture française soit propre et saine,1,Agriculture biologique,agriculture français propre sain
Il faut rétablir la vente « à la découpe » du fromage et de la viande et arrêter de proposer ces produits pré-découpés/emballés ,5,Gaspillage alimentaire,rétablir vente découpe fromage viande arrêter proposer prédécoupésemballé
"Il faut lutter contre le gaspillage alimentaire et les emballages superflu, en privilégiant un mode de consommation en vrac",6,Emballage alimentaire,lutter gaspillage alimentaire emballage superflu privilégier mode consommation vrac
Il faut un repas végétarien par jour dans les cantines scolaires,8,Alimentation des enfants,repas végétarien jour cantine scolaire
"Il faut instruire les adolescents et jeunes adultes en intégrant l'alimentation dans le cursus scolaire (équipement alimentaire, cuisine)",8,Alimentation des enfants,instruire adolescent jeune adulte intégrer alimentation cursus scolaire équipement alimentaire cuisine
"Il faut réduire fortement notre consommation hebdomadaire de viandes et de poissons : à domicile, à l'école, sur les lieux de travail.",4,Habitude de consommation alimentaire,réduire fortement consommation hebdomadaire viande poisson domicile école lieu travail
Il faut privilégier les ventes locales ce qui leur permettrait de baisser leurs prix,7,Circuit court,privilégier vente local permettre baisser prix
